20110103 090100;126.35;126.39;126.35;126.39;1579
20110103 090200;126.45;126.45;126.45;126.45;300
20110103 090600;126.36;126.36;126.36;126.36;300
20110103 091600;126.35;126.35;126.35;126.35;100
20110103 092500;126.3;126.3;126.3;126.3;1000
20110103 095600;126.4;126.4;126.4;126.4;118
20110103 102300;126.44;126.44;126.44;126.44;100
20110103 103100;126.48;126.48;126.48;126.48;200
20110103 103300;126.46;126.46;126.46;126.46;2000
20110103 103700;126.5;126.5;126.5;126.5;100
20110103 104000;126.48;126.48;126.48;126.48;100
20110103 104500;126.48;126.48;126.44;126.44;1000
20110103 104800;126.48;126.48;126.48;126.48;100
20110103 110100;126.49;126.49;126.49;126.49;400
20110103 110700;126.51;126.51;126.51;126.51;200
20110103 111000;126.51;126.51;126.49;126.49;475
20110103 112300;126.49;126.49;126.49;126.49;200
20110103 114200;126.46;126.46;126.46;126.46;200
20110103 114300;126.46;126.46;126.46;126.46;500
20110103 114600;126.46;126.46;126.46;126.46;500
20110103 114800;126.46;126.46;126.46;126.46;800
20110103 114900;126.44;126.44;126.44;126.44;1100
20110103 115500;126.47;126.47;126.47;126.47;100
20110103 115900;126.45;126.45;126.45;126.45;500
20110103 120000;126.45;126.45;126.45;126.45;2100
20110103 120100;126.45;126.45;126.41;126.41;1800
20110103 120300;126.44;126.44;126.44;126.44;500
20110103 120400;126.44;126.46;126.44;126.46;740
20110103 120500;126.43;126.43;126.43;126.43;3200
20110103 120600;126.43;126.43;126.4;126.4;5300
20110103 120700;126.4;126.4;126.39;126.39;1000
20110103 120800;126.38;126.38;126.35;126.35;400
20110103 121000;126.38;126.38;126.38;126.38;2400
20110103 121200;126.4;126.4;126.38;126.38;11100
20110103 121400;126.41;126.41;126.38;126.38;1800
20110103 121500;126.38;126.38;126.36;126.36;1000
20110103 121600;126.38;126.38;126.38;126.38;100
20110103 121700;126.4;126.41;126.4;126.41;12900
20110103 121800;126.41;126.41;126.41;126.41;400
20110103 121900;126.41;126.41;126.41;126.41;200
20110103 122000;126.4;126.4;126.4;126.4;2200
20110103 122300;126.41;126.41;126.41;126.41;5100
20110103 122500;126.42;126.42;126.42;126.42;100
20110103 122600;126.44;126.46;126.44;126.46;16850
20110103 122700;126.46;126.46;126.46;126.46;50100
20110103 122800;126.46;126.48;126.46;126.48;3900
20110103 122900;126.49;126.51;126.49;126.5;21337
20110103 123000;126.5;126.5;126.5;126.5;700
20110103 123100;126.5;126.51;126.5;126.51;4500
20110103 123200;126.51;126.54;126.5;126.54;10600
20110103 123300;126.53;126.58;126.53;126.58;14602
20110103 123400;126.56;126.58;126.55;126.58;3800
20110103 123500;126.58;126.59;126.58;126.59;8700
20110103 123600;126.59;126.66;126.59;126.66;8200
20110103 123700;126.62;126.69;126.62;126.69;61780
20110103 123800;126.67;126.69;126.65;126.68;52995
20110103 123900;126.64;126.66;126.64;126.65;2500
20110103 124000;126.68;126.69;126.68;126.69;29851
20110103 124100;126.65;126.69;126.65;126.69;4799
20110103 124200;126.68;126.69;126.68;126.69;7700
20110103 124300;126.66;126.66;126.66;126.66;5100
20110103 124400;126.66;126.68;126.66;126.68;15000
20110103 124500;126.7;126.71;126.69;126.69;32200
20110103 124600;126.69;126.75;126.69;126.75;51400
20110103 124700;126.75;126.81;126.75;126.81;27223
20110103 124800;126.8;126.8;126.78;126.8;22200
20110103 124900;126.8;126.81;126.78;126.81;14400
20110103 125000;126.78;126.79;126.78;126.78;13690
20110103 125100;126.78;126.79;126.75;126.75;8500
20110103 125200;126.76;126.78;126.76;126.78;9500
20110103 125300;126.78;126.78;126.78;126.78;2550
20110103 125400;126.78;126.78;126.78;126.78;500
20110103 125500;126.78;126.79;126.78;126.78;3375
20110103 125600;126.77;126.78;126.77;126.78;1980
20110103 125700;126.76;126.78;126.76;126.78;400
20110103 125800;126.76;126.76;126.76;126.76;2600
20110103 130000;126.72;126.75;126.72;126.73;12800
20110103 130100;126.71;126.72;126.7;126.72;22674
20110103 130200;126.72;126.73;126.7;126.71;21741
20110103 130300;126.72;126.74;126.72;126.74;3190
20110103 130400;126.73;126.77;126.73;126.76;66808
20110103 130500;126.76;126.78;126.76;126.76;56127
20110103 130600;126.77;126.77;126.74;126.76;24035
20110103 130700;126.75;126.75;126.71;126.72;8470
20110103 130800;126.72;126.74;126.72;126.74;3300
20110103 130900;126.73;126.73;126.7;126.73;9150
20110103 131000;126.72;126.72;126.7;126.7;7392
20110103 131100;126.69;126.72;126.68;126.71;7295
20110103 131200;126.7;126.71;126.68;126.68;15460
20110103 131300;126.7;126.71;126.7;126.7;2000
20110103 131400;126.69;126.73;126.69;126.72;59505
20110103 131500;126.73;126.76;126.73;126.76;4800
20110103 131600;126.77;126.77;126.76;126.76;2632
20110103 131700;126.75;126.77;126.75;126.76;2250
20110103 131800;126.75;126.76;126.74;126.76;26717
20110103 131900;126.75;126.75;126.73;126.73;20800
20110103 132000;126.75;126.75;126.72;126.73;34500
20110103 132100;126.73;126.75;126.72;126.74;4942
20110103 132200;126.73;126.73;126.72;126.72;2600
20110103 132300;126.72;126.73;126.72;126.73;2400
20110103 132400;126.73;126.76;126.73;126.75;74200
20110103 132500;126.75;126.75;126.73;126.73;4600
20110103 132600;126.73;126.73;126.7;126.71;10900
20110103 132700;126.71;126.71;126.71;126.71;600
20110103 132800;126.7;126.71;126.7;126.71;13800
20110103 132900;126.7;126.71;126.7;126.7;20700
20110103 133000;126.71;126.71;126.7;126.7;2100
20110103 133100;126.7;126.71;126.7;126.71;10300
20110103 133200;126.71;126.71;126.71;126.71;400
20110103 133300;126.71;126.71;126.7;126.7;5900
20110103 133400;126.7;126.71;126.7;126.7;58700
20110103 133500;126.7;126.71;126.7;126.71;23000
20110103 133600;126.71;126.71;126.69;126.69;19340
20110103 133700;126.68;126.69;126.68;126.69;11580
20110103 133800;126.68;126.69;126.68;126.69;15371
20110103 133900;126.69;126.69;126.68;126.69;9000
20110103 134000;126.69;126.7;126.67;126.69;55790
