id,price,amount,type
1356998659486096,13.51001,36.87430786,ask
1356998738639088,13.55999,11.68264135,bid
1356998739290677,13.51001,0.01,ask
1356998788984963,13.55999,22.30322441,bid
1356998789613887,13.51001,0.01,ask
1356999014882697,13.51001,2.0,ask
1356999073966025,13.55999,35.2925411,bid
1356999074184825,13.55999,0.05782085,bid
1356999074349050,13.55999,0.11038249,bid
1356999074564202,13.51001,0.01,ask
1356999080345412,13.55999,11.1833898,bid
1356999080398943,13.56,4.40546533,bid
1356999081108184,13.51001,0.01,ask
1356999121673647,13.56,5.66430678,bid
1356999122374429,13.51001,0.01,ask
1356999178482864,13.56,1.77009587,bid
1356999179452633,13.51001,0.01,ask
1356999458360219,13.51001,1.61,ask
1356999640201552,13.51001,4.0,ask
1356999863069826,13.51002,0.05038789,ask
1356999876023878,13.51002,0.03908791,ask
1356999876074509,13.51,0.00676016,ask
1356999894217531,13.51,0.04171643,ask
1356999911972511,13.51,0.03795213,ask
1356999923942982,13.54898,9.92059918,bid
1356999937330793,13.51,0.03452662,ask
1357000043149954,13.54898,1.0,bid
1357000352346868,13.54898,6.0,bid
1357000438523425,13.51,6.0,ask
1357000476448559,13.54898,2.21402214,bid
1357000628334633,13.54898,7.7947565,bid
1357000742315174,13.51,2.0,ask
1357000883583351,13.54898,1.41722845,bid
1357001078213213,13.54898,1.0,bid
1357001080353782,13.54898,1.0,bid
1357001227507810,13.54898,14.06971128,bid
1357001270270636,13.549,1.58816629,bid
1357001270566875,13.56,18.34074778,bid
1357001271822310,13.51001,0.01,ask
1357001335415194,13.51001,0.03084691,ask
1357001460829431,13.55989,0.18670615,bid
1357001460898195,13.5599,0.81329385,bid
1357001461795239,13.51001,0.01,ask
1357001516257544,13.5599,19.18670615,bid
1357001516315683,13.56,0.81329385,bid
1357001517071065,13.51002,0.01,ask
1357001569923704,13.56,14.16076696,bid
1357001570586416,13.51002,0.01,ask
1357001610267593,13.55,1.0,bid
1357001612522962,13.51002,0.01,ask
1357001654886710,13.55,2.79,bid
1357001703760335,13.55001,1.3295,ask
1357001791011470,13.55001,2.0,ask
1357001864145416,13.56,21.94918879,bid
1357002015279913,13.56,43.6187,bid
1357002041546074,13.56,1.4,bid
1357002044749144,13.55001,14.0,ask
1357002281726995,13.55001,0.98,ask
1357002289280538,13.56,23.3658,bid
1357002349209513,13.55001,29.0005,ask
1357002349272868,13.55,0.37,ask
1357002350751223,13.51,0.3571279,ask
1357002350788770,13.51,28.42635085,ask
1357002350818723,13.51,1.42,ask
1357002351267594,13.495,0.1,ask
1357002351825289,13.4784,3.92,ask
1357002351889452,13.471,1.84303207,ask
1357002371126048,13.50771,0.24425734,bid
1357002376198433,13.47001,0.01,ask
1357002435091848,13.47001,0.02762068,ask
1357002449129925,13.47001,0.0251291,ask
1357002460072810,13.47001,0.02286298,ask
1357002471380746,13.47001,0.02080081,ask
1357002493625927,13.47001,0.01891974,ask
1357002508603970,13.47001,0.01721082,ask
1357002521307207,13.47001,0.01565653,ask
1357002532633994,13.47001,0.01424294,ask
1357002544206588,13.47001,0.01295658,ask
1357002556583054,13.47001,0.01178517,ask
1357002567696293,13.47001,0.01072,ask
1357002589904397,13.5077,0.07396425,bid
1357002589980008,13.50771,7.46776266,bid
1357002590252392,13.5585,8.06509127,bid
1357002592070439,13.47001,0.01,ask
1357002655578551,13.55849,1.23502874,bid
1357002656288737,13.5595,22.20199712,bid
1357002665493920,13.47001,0.01,bid
1357003065504516,13.5,0.02,bid
1357003065553439,13.55,0.02,bid
1357003065653513,13.5595,1.73026291,bid
1357003066296341,13.47435,0.01,ask
1357003130203887,13.5595,11.3290313,bid
1357003131115820,13.47674,0.01,ask
1357003455905319,13.54776,0.3,bid
1357003456034115,13.5595,14.73870867,bid
1357003456106290,13.55995,20.36409795,bid
1357003456750262,13.47768,0.01,ask
1357003607694811,13.47862,0.10226104,ask
1357003635372973,13.55995,13.81033927,bid
1357003636504909,13.47862,0.01,ask
1357003696071775,13.55995,9.19633717,bid
1357003696207039,13.56,12.39886651,bid
1357003696700668,13.4787,0.01,ask
1357003880836361,13.47927,0.01,ask
1357003910483213,13.47927,0.01,ask
1357003917760583,13.47927,0.01,ask
1357003923673325,13.47927,0.01,ask
1357003929046989,13.47927,0.01,ask
1357003935227292,13.47927,0.01,ask
1357003955987014,13.47927,0.01,ask
1357003958631490,13.48,0.1,bid
1357003958681751,13.49,0.1,bid
1357003958718182,13.5,0.1,bid
1357003958852433,13.56,23.06681415,bid
1357003959860080,13.47927,0.01,ask
1357003962831077,13.47927,0.01,ask
1357004084813557,13.56,20.35,bid
1357004085355750,13.47927,0.01,ask
1357004090303853,13.56,2.22551929,bid
1357004091276540,13.47927,0.01,ask
1357004105628879,13.56,9.91253687,bid
1357004106131156,13.47998,0.01,ask
1357004246608212,13.48018,0.01,ask
1357004256252508,13.48018,0.01,ask
1357004270074511,13.48018,0.01,ask
1357004571642703,13.47841,0.01,ask
1357004646876885,13.47845,0.65599,ask
1357004740924990,13.47846,0.01,bid
1357004742441603,13.47846,0.30959115,ask
1357004759215490,13.47847,0.01,bid
1357004772009169,13.47849,0.01,bid
1357004878484119,13.4785,0.01,bid
1357004878545457,13.479,0.01,bid
1357004878594582,13.48,0.01,bid
1357004878663512,13.49,0.01,bid
1357004878720724,13.495,0.01,bid
1357004878769010,13.5,0.01,bid
1357004878831782,13.51,0.1,bid
1357004878878394,13.52,0.1,bid
1357004878919306,13.52,0.01,bid
1357004878958081,13.53,0.1,bid
1357004879001142,13.54,0.1,bid
1357004879043187,13.54,0.01,bid
1357004879081369,13.55,0.1,bid
1357004879160231,13.55936,7.25248191,bid
1357004879200841,13.55999,0.18,bid
1357004879551267,13.56,6.15010029,bid
1357004883037868,13.4785,0.01,ask
1357004887806857,13.47841,0.01,ask
1357005085894164,13.52562,34.31728121,ask
1357005086154718,13.52561,0.1,ask
1357005086426535,13.51563,0.1,ask
1357005086461652,13.50565,0.1,ask
1357005086558922,13.49566,0.1,ask
1357005086607734,13.48568,0.1,ask
1357005087031875,13.4784,0.1,ask
1357005087620575,13.477,1.0,ask
1357005088249805,13.4725,45.38271879,ask
1357005287948304,13.52,3.55066568,bid
1357005288507859,13.48001,0.01,ask
1357005398805528,13.48005,1.030554,ask
1357005608801851,13.50001,30.51586715,ask
1357005608895958,13.5,0.01,ask
1357005613609920,13.48005,0.01,ask
1357005627670479,13.5,35.55925925,bid
1357005802083332,13.48005,56.6362977,ask
1357005802169022,13.48004,0.01,ask
1357005802214747,13.48002,0.01,ask
1357005802273939,13.48,1.0,ask
1357005802327790,13.478,1.0,ask
1357005802401385,13.4725,4.61728121,ask
1357005802496542,13.47065,20.23072879,ask
1357005802553392,13.47,0.97,ask
1357005802587640,13.4699,0.1,ask
1357005802624923,13.4698,0.1,ask
1357005802660468,13.4698,0.1,ask
1357005802735180,13.46843,23.77728212,ask
1357005802779238,13.46842,0.1,ask
1357005802818780,13.4684,0.1,ask
1357005802853074,13.4683,0.27,ask
1357005802890537,13.461,90.97841018,ask
1357006104190863,13.46101,0.1,ask
1357006124380870,13.46101,0.1,ask
1357006126719401,13.49266,0.1,bid
1357006126770983,13.5,35.17839555,bid
1357006395919123,13.49949,20.12957515,bid
1357006395971137,13.5,15.00728962,bid
1357006527814921,13.5,34.92274888,bid
1357006598394618,13.46101,0.01831227,ask
1357006692316566,13.5,1.5646074,bid
1357006750991749,13.46101,4.59935345,ask
1357006771735005,13.5,7.11185185,bid
1357006851309336,13.46101,60.24245074,ask
1357006851445399,13.461,9.02158982,ask
1357007049753265,13.46,0.1,ask
1357007082168854,13.49,0.1,bid
1357007082234076,13.5,16.25733333,bid
1357007348896399,13.49999,4.40935141,bid
1357007477715818,13.49999,35.5593,bid
1357007548249319,13.49999,8.53422854,bid
1357007665068038,13.49999,2.84474284,bid
1357007669771456,13.47,1.0,ask
1357007704980545,13.47,2.22551929,bid
1357007869433231,13.47,2.54448071,bid
1357007869483067,13.5,16.30758074,bid
1357008203342877,13.49999,32.00335703,bid
1357008364055481,13.49999,4.26711427,bid
1357008391825053,13.49999,35.5556,bid
1357008397061615,13.49999,0.11503661,bid
1357008687618305,13.49999,5.0,bid
1357009089699336,13.466,0.09,ask
1357009185226533,13.466,62.7089,ask
1357009318443291,13.46599,20.23072879,bid
1357009424696144,13.46599,6.84818643,bid
1357009429437972,13.46599,21.0,bid
1357009429637924,13.46599,0.3894411,bid
1357009442578137,13.46573,1.71,ask
1357009584007313,13.46599,22.256499,bid
1357009585329269,13.46599,5.45819505,bid
1357009587863974,13.46599,5.0,bid
1357009767171078,13.46599,35.36744123,bid
1357009791199953,13.46573,1.0,ask
1357009941931268,13.46599,35.29614309,bid
1357010004604393,13.49998,62.11204143,bid
1357010004691432,13.49999,1.0,bid
1357010004755256,13.5,614.27204888,bid
1357010104510302,13.5,35.27478518,bid
1357010179656519,13.5,0.35661348,bid
1357010212550480,13.5,7.66161869,bid
1357010212621266,13.5,17.22986296,bid
1357010227054053,13.5,34.92274888,bid
1357010364697559,13.46573,34.68680219,ask
1357010364788213,13.46572,0.1,ask
1357010364885906,13.4625,100.0,ask
1357010364969281,13.46,4.08,ask
1357010365003376,13.4598,0.51,ask
1357010365035368,13.45843,0.1,ask
1357010365075133,13.4584,0.54,ask
1357010365196933,13.45,42.35934716,ask
1357010365229961,13.449,0.23,ask
1357010365262913,13.4483,0.1,ask
1357010365515662,13.44,15.0,ask
1357010365554552,13.4383,0.1,ask
1357010365598768,13.435,1.0,ask
1357010365652718,13.431,3.0,ask
1357010365712127,13.43,0.015,ask
1357010365778734,13.43,1.0,ask
1357010365813085,13.43,1.0,ask
1357010365846724,13.43,1.0,ask
1357010366064665,13.42451,50.43206344,ask
1357010366099105,13.4245,100.0,ask
1357010366207498,13.42001,78.83425869,ask
1357010366276568,13.41969,0.10395173,ask
1357010366324731,13.4185,0.1,ask
1357010366395463,13.413,0.70564446,ask
1357010366472362,13.41223,199.0,ask
1357010366517270,13.412,180.0,ask
1357010366801123,13.412,10.0,ask
1357010366837957,13.411,826.64453303,ask
1357010438116056,13.48265,34.95371557,bid
1357010438444226,13.48266,0.1,bid
