Date,Open,High,Low,Close,Volume,Ex-Dividend,Split Ratio,Adj. Open,Adj. High,Adj. Low,Adj. Close,Adj. Volume
2011-12-30,186.33,186.48,183.85,183.88,3530900.0,0.0,1.0,160.85677989566,160.98627335879,158.71582130531,158.74171999793,3530900.0
2011-12-29,184.07,186.23,184.01,186.18,2941600.0,0.0,1.0,158.90574505123,160.77045092025,158.85394766597,160.72728643254,2941600.0
2011-12-28,185.19,185.4,183.34,183.99,2872000.0,0.0,1.0,159.8726295759,160.05392042428,158.27554353068,158.83668187089,2872000.0
2011-12-27,184.97,185.85,184.39,184.95,2775200.0,0.0,1.0,159.68270582998,160.44240081366,159.18199777256,159.6654400349,2775200.0
2011-12-23,183.11,184.85,181.89,184.75,3052300.0,0.0,1.0,158.07698688722,159.57911105948,157.02377338712,159.49278208407,3052300.0
2011-12-22,182.71,182.8,181.0,182.04,5052000.0,0.0,1.0,157.73167098555,157.80936706342,156.2554455059,157.15326685025,5052000.0
2011-12-21,183.22,183.5,179.04,181.47,9282500.0,0.0,1.0,158.17194876018,158.41366989134,154.56339758772,156.66119169037,9282500.0
2011-12-20,185.5,187.33,184.755,187.24,4740100.0,0.0,1.0,160.1402493997,161.72006964984,159.49709853284,161.64237357196,4740100.0
2011-12-19,184.51,184.69,182.25,182.89,5039900.0,0.0,1.0,159.28559254306,159.44098469881,157.33455769862,157.8870631413,5039900.0
2011-12-16,188.01,188.01,181.91,183.57,11849400.0,0.0,1.0,162.30710668268,162.30710668268,157.0410391822,158.47410017414,11849400.0
2011-12-15,190.48,191.2,186.89,187.48,4474500.0,0.0,1.0,164.4394323755,165.0610009985,161.340222158,161.84956311297,4474500.0
2011-12-14,189.84,190.28,188.0,188.72,5057700.0,0.0,1.0,163.88692693282,164.26677442466,162.29847378514,162.92004240815,5057700.0
2011-12-13,193.46,194.3,190.64,191.15,5008400.0,0.0,1.0,167.01203584294,167.73719923645,164.57755873616,165.01783651079,5008400.0
2011-12-12,193.64,193.9,191.22,192.18,3796100.0,0.0,1.0,167.16742799869,167.39188333478,165.07826679359,165.90702495759,3796100.0
2011-12-09,192.91,194.87,192.4,194.56,4847900.0,0.0,1.0,166.53722647814,168.22927439633,166.09694870351,167.96165457253,4847900.0
2011-12-08,192.48,193.8,191.07,191.58,4369000.0,0.0,1.0,166.16601188385,167.30555435936,164.94877333046,165.38905110509,4369000.0
2011-12-07,191.99,194.9,191.28,194.05,5081700.0,0.0,1.0,165.7429999043,168.25517308895,165.13006417884,167.5213767979,5081700.0
2011-12-06,190.65,193.53,190.32,192.94,4144900.0,0.0,1.0,164.58619163371,167.07246612573,164.30130601483,166.56312517077,4144900.0
2011-12-05,191.18,193.61,190.38,190.84,5699400.0,0.0,1.0,165.04373520342,167.14152930607,164.35310340008,164.750216687,5699400.0
2011-12-02,189.92,191.33,189.45,189.66,4962200.0,0.0,1.0,163.95599011316,165.17322866655,163.55024392869,163.73153477707,4962200.0
2011-12-01,187.01,189.99,186.77,189.45,4858800.0,0.0,1.0,161.4438169285,164.01642039595,161.2366273875,163.55024392869,4858800.0
2011-11-30,184.57,188.35,184.21,188.0,7836800.0,0.0,1.0,159.33738992831,162.6006251991,159.02660561681,162.29847378514,7836800.0
2011-11-29,182.02,183.31,180.84,180.94,3661600.0,0.0,1.0,157.13600105516,158.24964483805,156.11731914524,156.20364812065,3661600.0
2011-11-28,182.71,182.93,180.67,182.21,4524200.0,0.0,1.0,157.73167098555,157.92159473146,155.97055988703,157.30002610846,4524200.0
2011-11-25,178.01,179.56,177.06,177.06,2232800.0,0.0,1.0,153.67420914092,155.01230825989,152.85408387445,152.85408387445,2232800.0
2011-11-23,180.67,181.49,177.52,177.95,4800900.0,0.0,1.0,155.97055988703,156.67845748545,153.25119716137,153.62241175567,4800900.0
2011-11-22,182.22,182.98,180.29,181.31,4178600.0,0.0,1.0,157.308659006,157.96475921917,155.64250978044,156.5230653297,4178600.0
2011-11-21,183.37,183.96,180.0,181.48,5145100.0,0.0,1.0,158.3014422233,158.81078317827,155.39215575173,156.66982458791,5145100.0
2011-11-18,186.71,186.97,184.66,185.24,4440900.0,0.0,1.0,161.18483000225,161.40928533834,159.41508600619,159.91579406361,4440900.0
2011-11-17,186.81,188.83,183.39,185.73,5840500.0,0.0,1.0,161.27115897767,163.0150042811,158.31870801839,160.33880604316,5840500.0
